name,city,type,neighborhood,address,description,mustOrder,priceRange,emoji,lat,lng
Social House,Fort Worth,Brunch,West 7th,"840 Currie St, Fort Worth, TX 76107",,,,🍳,32.7503734,-97.358536
La Cabrona,Fort Worth,Brunch,West 7th,"2933 Crockett St, Fort Worth, TX 76107",,,,🍳,32.7499403,-97.3591045
Toro Toro,Fort Worth,Brunch,Downtown,"200 Main St, Fort Worth, TX 76102",,,,🍳,32.7559487,-97.3324561
Ascension Coffee,Fort Worth,Brunch,University,"1751 River Run Suite #151, Fort Worth, TX 76107",,,,☕,32.7267784,-97.3596519
Cowtown Brewing Co.,Fort Worth,Brewery,Downtown,"1301 E Belknap St, Fort Worth, TX 76102",,,,🍺,32.7623535,-97.3245027
False Idol,Fort Worth,Brewery,Mid-Cities,"7924 Maplewood Ave, North Richland Hills, TX 76180",,,,🍺,32.8383713,-97.2097431
Wabi House,Fort Worth,Dinner,Magnolia,"1229 8th Ave #227, Fort Worth, TX 76104",,,,🍜,32.7315495,-97.3433571
Joe T. Garcias,Fort Worth,"Lunch, Dinner, Drinks",Stockyards,"2201 N Commerce St, Fort Worth, TX 76164",,,,🍹,32.7845692,-97.3483061
Atico,Fort Worth,"Dinner, Drinks",Stockyards,"2315 N Main St, Fort Worth, TX 76164",,,,🍹,32.7867004,-97.3495005
Rogers Roundhouse,Fort Worth,Drinks,University,"1616 Rogers Rd, Fort Worth, TX 76107",,,,🍹,32.7273497,-97.3654565
HG Supply Co,Fort Worth,"Lunch, Dinner, Drinks",University,"1621 River Run #176, Fort Worth, TX 76107",,,,🍽️,32.7273918,-97.3594283
Woodshed Smokehouse,Fort Worth,"Lunch, Dinner, Drinks",University,"3201 Riverfront Dr, Fort Worth, TX 76107",,,,🍽️,32.7242447,-97.3643344
Nonna Tata,Fort Worth,Dinner,Magnolia,"1400 W Magnolia Ave, Fort Worth, TX 76104",,,,🍝,32.7307836,-97.3404614
Hopfusion Ale Works,Fort Worth,Brewery,Near Southside,"200 E Broadway Ave, Fort Worth, TX 76104",,,,🍺,32.7415706,-97.3247493
Tinie's Mexican Cuisine,Fort Worth,Dinner,Near Southside,"113 S Main St, Fort Worth, TX 76104",,,,🌮,32.742859,-97.325681
Bowlounge FW,Fort Worth,Dinner,Near Southside,"941 W Vickery Blvd, Fort Worth, TX 76104",,,,🎳,32.74348,-97.3351911
TX Whiskey Distillery,Fort Worth,Drinks,Mid-Cities,"2601 Whiskey Ranch Rd, Fort Worth, TX 76119",,,,🍸,32.7004319,-97.29003
Avoca Coffee,Fort Worth,Coffee,"Magnolia, Stockyards, West 7th","1311 W Magnolia Ave, Fort Worth, TX 76104",,,,☕,32.7303207,-97.3400205
Casa Azul Coffee,Fort Worth,Coffee,Stockyards,"300 W Central Ave, Fort Worth, TX 76164",,,,☕,32.7772794,-97.3484144
Rodeo Goat,Fort Worth,"Lunch, Dinner",West 7th,"2836 Bledsoe St, Fort Worth, TX 76107",,,,🍔,32.7487164,-97.3580514
Tipsy Oak,Fort Worth,"Lunch, Dinner, Drinks",Mid-Cities,"301 E Front St, Arlington, TX 76011",,,,🍹,32.7378847,-97.1042887
Beto & Son,Dallas,"Lunch, Dinner",Bishop Arts,"3011 Gulden Ln #108, Dallas, TX 75212",,,,🍸,32.7791763,-96.8285198
The Wild Detectives,Dallas,Coffee,Bishop Arts,"314 W Eighth St, Dallas, TX 75208",,,,☕,32.7478889,-96.8272483
Coco's Fire & Ice,Dallas,"Brunch, Lunch, Dinner",Bishop Arts,"410 N Bishop Ave #106, Dallas, TX 75208",,,,🌮,32.7485647,-96.8280023
The Local Oak,Dallas,Brunch,Bishop Arts,"409 N Zang Blvd, Dallas, TX 75208",,,,🍳,32.7486095,-96.8248902
Four Corners,Dallas,Brewery,Cedars,"1311 S Ervay St, Dallas, TX 75215",,,,🍺,32.772085,-96.791787
Revolver Taco Lounge,Dallas,"Lunch, Dinner",Deep Ellum,"2646 Elm St, Dallas, TX 75226",,,,🌮,32.7842771,-96.7846664
Ruins,Dallas,Drinks,Deep Ellum,"2653 Commerce St, Dallas, TX 75226",,,,🍹,32.7832174,-96.7841129
The Rustic,Dallas,Brunch,Uptown,"3656 Howell St, Dallas, TX 75204",,,,🍳,32.804896,-96.794227
El Come,Dallas,"Lunch, Dinner",East Dallas,"2513 N Fitzhugh Ave, Dallas, TX 75204",,,,🌮,32.8123093,-96.7838025
La Vuida Negra,Dallas,Drinks,East Dallas,"2513 N Fitzhugh Ave, Dallas, TX 75204",,,,🍹,32.8123093,-96.7838025
Single Wide,Dallas,Drinks,Lower Greenville,"2110 Greenville Ave, Dallas, TX 75206",,,,🍹,32.815239,-96.769872
Truck Yard,Dallas,Drinks,Lower Greenville,"5624 Sears St, Dallas, TX 75206",,,,🍹,32.8143247,-96.7711671
Celestial Beerworks,Dallas,Brewery,Oaklawn,"2530 Butler St, Dallas, TX 75235",,,,🍺,32.8200098,-96.8330903
Union,Dallas,Coffee,Oaklawn,"3705 Cedar Springs Rd, Dallas, TX 75219",,,,☕,32.8085041,-96.8082558
Revolver Gastropub Cantina,Dallas,Brunch,Deep Ellum,"2646 Elm St, Dallas, TX 75226",,,,🌮,32.7842771,-96.7846664
HG Supply Co,Dallas,"Lunch, Dinner",Lower Greenville,"2008 Greenville Ave, Dallas, TX 75206",,,,🍽️,32.8141738,-96.7698515
Rodeo Goat,Dallas,"Lunch, Dinner",Design District,"1926 Market Center Blvd, Dallas, TX 75207",,,,🍔,32.7972052,-96.8239149
Pecan Lodge,Dallas,"Lunch, Dinner",Deep Ellum,"2702 Main St, Dallas, TX 75226",,,,🍽️,32.7836494,-96.7838379
Loro,Dallas,"Lunch, Dinner",East Dallas,"1812 N Haskell Ave., Dallas, TX 75204",,,,🍽️,32.8011693,-96.7847456
